obj_id,row_obj,col_obj,Area,Perimeter,Energy_1,Entropy_1,Var_Avg,Entr_Avg,Class
featurefile1018,122,227,23131,540,0.038485682,4.906862149,0,-0.000144262,cancer
featurefile1018,124,85,13552,440,0.033643161,5.262811722,0,-0.000144262,cancer
featurefile1018,74,241,6531,311,0.026397994,5.468892352,0,-0.000144262,cancer
featurefile1018,89,215,10648,402,0.02224523,5.906402312,0,-0.000144262,cancer
featurefile1018,104,78,16945,508,0.023482861,5.530038626,0,-0.000144262,cancer
featurefile1018,132,68,20025,520,0.026241468,5.528294174,0,-0.000144262,nocancer
featurefile1018,115,282,4320,294,0.039237611,4.941042724,0,-0.000144262,nocancer
featurefile1018,55,45,5979,283,0.037266101,5.238275648,0,-0.000144262,nocancer
Binary:,2,0,0,0,0,0,0,0,0
Projections W:,10,0,0,0,0,0,0,0,0
Projections H:,10,0,0,0,0,0,0,0,0
RST-Invariant:,0,0,0,0,0,0,0,0,0
Histogram:,2,0,0,0,0,0,0,0,0
Texture:,2,0,0,0,0,0,0,0,0
Tex. Distance:,2,0,0,0,0,0,0,0,0
Quant. Level:,1,0,0,0,0,0,0,0,0
Stats(Avg Rang Var):,100,0,0,0,0,0,0,0,0
Spectral:,0,0,0,0,0,0,0,0,0
Rings:,0,0,0,0,0,0,0,0,0
Sectors:,0,0,0,0,0,0,0,0,0
Images:,8,0,0,0,0,0,0,0,0
