obj_id,row_obj,col_obj,Area,Centroid_r,Centroid_c,Orientation,Perimeter,Euler,Class
traning1105,125,226,63,121,223,42.4321867037663,50,1,cancer
traning1105,125,226,62370,117,176,88.7654384968791,1110,0,cancer
traning1105,74,241,6531,76,244,-2.86377703680476,311,1,cancer
traning1105,89,216,10648,97,217,7.49997018510383,402,1,cancer
traning1105,102,79,16945,111,84,6.44262304468883,508,1,cancer
traning1105,140,67,20025,140,70,7.35820800632637,520,1,nocancer
traning1105,122,284,4320,123,283,8.32284565399083,294,1,nocancer
traning1105,53,44,5979,56,46,-7.1278756765744,283,1,nocancer
traning1105,83,54,11126,85,59,6.13606274563986,423,1,nocancer
traning1105,94,199,27329,103,204,16.7849028290722,598,1,nocancer
Binary:,5,0,0,0,0,0,0,0,0
Projections W:,10,0,0,0,0,0,0,0,0
Projections H:,10,0,0,0,0,0,0,0,0
RST-Invariant:,0,0,0,0,0,0,0,0,0
Histogram:,0,0,0,0,0,0,0,0,0
Texture:,0,0,0,0,0,0,0,0,0
Tex. Distance:,2,0,0,0,0,0,0,0,0
Quant. Level:,1,0,0,0,0,0,0,0,0
Stats(Avg Rang Var):,100,0,0,0,0,0,0,0,0
Spectral:,0,0,0,0,0,0,0,0,0
Rings:,0,0,0,0,0,0,0,0,0
Sectors:,0,0,0,0,0,0,0,0,0
Images:,10,0,0,0,0,0,0,0,0
