obj_id,row_obj,col_obj,Area,Perimeter,Mean_1,STD_1,Skew_1,Energy_1,Entropy_1,ASM_Avg,ASM_Range,Corr_Avg,Corr_Range,IDM_Avg,IDM_Range,Entr_Avg,Entr_Range,Spectral_DC_band_1,Rings1_band_1,Rings2_band_1,Rings3_band_1,Sectors1_band_1,Sectors2_band_1,Sectors3_band_1,Class
1.tif,116,218,23131,540,125.147507673685,10.0263383719147,0.0469606609295599,0.038485682092477,4.90686214918842,0.381141776408071,0.0209434314166131,0.92255628568307,0.0435570504444277,0.9669168926051,0.0179330620072005,1.81574264543524,0.141098971712064,2837.39749068418,0.166518945309247,0.00258971963240349,0.00130828391837298,1.51722907340393,0.11605483413557,0.034725773344849,cancer
2.tif,114,76,13552,440,182.712367178276,16.1507408222413,-1.17384666504789,0.0336431606656733,5.26281172197496,0.336020246047261,0.0181278592726766,0.937450673069849,0.0317955648647862,0.960054618900107,0.019334046856087,1.99915505827578,0.137346192965166,2333.10255550058,0.637010766681269,0.00355553471904768,0.00178111601522136,1.97328412846188,0.266077037876963,0.0638383814189583,cancer
3.tif,69,246,6531,311,76.064308681672,15.2478979143342,0.293020677741964,0.0263979938463394,5.46889235245668,0.295007725958122,0.0494642678390365,0.854379278154154,0.0961017258540713,0.927483572899394,0.0469901714871939,2.19020640809879,0.29047095026632,75.7093298472464,2.1422489688611,0.0178883613087265,0.00889817534262997,3.42677780293027,0.679053768595383,0.789717780305273,cancer
4.tif,93,216,10648,402,87.3594102178812,29.3531944453243,2.03670187125411,0.0222452296308171,5.90640231165045,0.360876935825475,0.0268970435833185,0.904680030529172,0.0341308671654073,0.93966427923379,0.0219172542649392,1.9786769093756,0.139078209843612,321.037746744463,0.911881550345298,0.00661683621500046,0.00337562172241561,2.41707386631863,0.438558347752891,0.205868674409806,cancer
5.tif,96,76,16945,508,106.388374151667,16.5853624218224,-0.0185165668695627,0.023482861297477,5.53003862642753,0.252887885930449,0.0318085034786732,0.944706097278723,0.0415522502447567,0.955209523134151,0.0332730824872868,2.34514245286271,0.259346776368002,1115.58711320185,0.270762033854958,0.00354460397077118,0.00184215655295669,1.88530216179143,0.178396329000886,0.032362632911118,cancer
no1.tif,142,70,20025,520,123.335280898876,18.293240360817,-0.802982584126456,0.0262414678281362,5.52829417426147,0.440991464012908,0.0356306082716415,0.869263249827949,0.0917551636447348,0.968101873862567,0.0241939646908543,1.4130057509382,0.178093884707924,1708.18670948246,0.381442170722457,0.0036018621244649,0.00182142500060081,1.73990154035835,0.217387930576327,0.038760569570447,nocancer
no2.tif,125,282,4320,294,117.875231481481,10.7467453058421,0.0191663007654305,0.0392376114540466,4.94104272432888,0.389732567374973,0.057213564372858,0.786963533427418,0.173168365427201,0.933226130375203,0.048124145965401,1.89683211591694,0.310450332140369,103.474491253495,2.82540729121781,0.03619507053548,0.017741334892762,4.60729566053608,0.720016685186874,0.879132398476872,nocancer
no3.tif,54,47,5979,283,79.074092657635,14.0432287044565,-0.019930072647123,0.0372661006391859,5.2382756480381,0.298188403449254,0.0394425410584135,0.841193848733134,0.0935004637171013,0.921064684951204,0.0427746376172836,2.28521291856067,0.266409389945759,1293.64999205247,0.139838048707958,0.0037623724907121,0.00226794783259053,1.47474348380806,0.0964007090798559,0.0139532144628213,nocancer
no4.tif,77,52,11126,423,75.3895380190545,12.7688127773662,-0.216416166818713,0.042302026411698,4.96240128608667,0.674418052507428,0.015951205260719,0.817866766502088,0.0885116569173222,0.971235085776545,0.0131971424012514,1.12474730790403,0.0801687642413111,253.571217902936,0.82142991163691,0.00774114306823459,0.00383107372916291,2.23688981208925,0.398923572046821,0.220899105662314,nocancer
no5.tif,92,196,27329,598,79.0531303743276,14.0326676657359,0.593144861487655,0.0301651787720444,5.31831053052774,0.330143731461277,0.0311606733988981,0.900650785805114,0.0534105227401499,0.944090855329101,0.0298707281826411,2.16054030639777,0.219456947158319,1512.23504539602,0.168804290317935,0.00216980502785936,0.00109693900657914,1.37553883319155,0.139895512136993,0.0147823107437334,nocancer
Binary:,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Projections W:,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Projections H:,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RST-Invariant:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Histogram:,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texture:,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tex. Distance:,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quant. Level:,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stats(Avg Rang Var):,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spectral:,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rings:,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sectors:,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Images:,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
